name,slug,value,date_of_information,ranking,region
"Cyprus","cyprus","31.2","2019 est.","140","Europe"
"Malta","malta","31.0","2019 est.","141","Europe"
"Albania","albania","30.8","2019 est.","142","Europe"
"Estonia","estonia","30.8","2019 est.","143","Europe"
"Burma","burma","30.7","2017 est.","144","East and Southeast Asia"
"Fiji","fiji","30.7","2019 est.","145","Australia and Oceania"
"Ireland","ireland","30.6","2018 est.","146","Europe"
"Austria","austria","30.2","2019 est.","147","Europe"
"Hungary","hungary","30.0","2019 est.","148","Europe"
"Poland","poland","29.7","2017 est.","149","Europe"
"Guinea","guinea","29.6","2018 est.","150","Africa"
"Iraq","iraq","29.5","2012 est.","151","Middle East"
"Afghanistan","afghanistan","29.4","2008","152","South Asia"
"Maldives","maldives","29.3","2019 est.","153","South Asia"
"Kosovo","kosovo","29.0","2017 est.","154","Europe"
"Kyrgyzstan","kyrgyzstan","29.0","2020 est.","155","Central Asia"
"Croatia","croatia","28.9","2019 est.","156","Europe"
"Sweden","sweden","28.8","2017 est.","157","Europe"
"Timor-Leste","timor-leste","28.7","2014 est.","158","East and Southeast Asia"
"Netherlands","netherlands","28.5","2017 est.","159","Europe"
"Kazakhstan","kazakhstan","27.8","2018 est.","160","Central Asia"
"Kiribati","kiribati","27.8","2019 est.","161","Australia and Oceania"
"Denmark","denmark","27.7","2019 est.","162","Europe"
"Finland","finland","27.7","2019 est.","163","Europe"
"Algeria","algeria","27.6","2011 est.","164","Africa"
"Belgium","belgium","27.2","2019 est.","165","Europe"
"Norway","norway","27.0","2017 est.","166","Europe"
"Iceland","iceland","26.1","2017 est.","167","Europe"
"Ukraine","ukraine","26.1","2018 est.","168","Europe"
"Moldova","moldova","25.7","2018 est.","169","Europe"
"Czechia","czechia","25.3","2019 est.","170","Europe"
"Armenia","armenia","25.2","2020 est.","171","Middle East"
"Slovakia","slovakia","25.2","2016 est.","172","Europe"
"Belarus","belarus","24.4","2020 est.","173","Europe"
"Slovenia","slovenia","24.2","2017 est.","174","Europe"
"Faroe Islands","faroe-islands","22.7","2013 est.","175","Europe"
"Jersey","jersey","0.3","2014 est.","176","Europe"
